favorites,retweets,tweet_id
2323,184,828361771580813312
12456,3109,828046555563323392
10990,2338,828011680017821696
21352,5685,827933404142436356
16354,3269,827653905312006145
7851,1032,827600520311402496
16827,3335,827324948884643840
11214,2440,827199976799354881
22888,5444,826958653328592898
38690,11129,826848821049180160
0,4299,826615380357632002
5430,277,826598799820865537
10701,2556,826598365270007810
19551,4568,826476773533745153
14085,2814,826240494070030336
5180,1015,826204788643753985
16640,3414,826115272272650244
11113,2036,825876512159186944
13535,2711,825829644528148480
55311,18735,825535076884762624
19447,4986,825147591692263424
0,1398,825120256414846976
6744,1398,825026590719483904
0,5992,824796380199809024
15910,3841,824775126675836928
10701,1893,824663926340194305
12522,11316,824325613288833024
16002,4220,824297048279236611
5079,645,824025158776213504
11324,2959,823939628516474880
0,12260,823719002937630720
13377,2641,823699002998870016
13864,2887,823581115634085888
741,28,823333489516937216
16744,4385,823322678127919110
0,10760,823269594223824897
18394,3756,822975315408461824
140891,47904,822872901745569793
14065,2492,822859134160621569
0,7011,822647212903690241
15723,3239,822610361945911296
19327,7011,822489057087389700
30336,16027,822462944365645825
37298,10760,822244816520155136
0,5257,822163064745328640
12098,2561,821886076407029760
0,3652,821813639212650496
8975,1819,821765923262631936
8548,1934,821522889702862852
0,6125,821421320206483457
12551,4759,821407182352777218
271,10,821153421864615936
9297,2203,821149554670182400
10219,2330,821107785811234820
13504,2506,821044531881721856
0,7331,820837357901512704
33638,10849,820749716845686786
13015,3532,820690176645140481
0,620,820494788566847489
0,2828,820446719150292993
3557,620,820314633777061888
21150,6882,820078625395449857
0,1300,820013781606658049
5673,1300,819952236453363712
13724,5304,819924195358416896
14365,3436,819711362133872643
10201,2155,819588359383371776
7704,1324,819347104292290561
2433,443,819238181065359361
24639,7331,819227688460238848
0,40193,819015337530290176
0,20716,819015331746349057
48190,20716,819006400881917954
92233,40193,819004803107983360
0,22865,818646164899774465
23693,8158,818627210458333184
10538,2834,818614493328580609
0,6731,818588835076603904
11657,2718,818536468981415936
0,8908,818307523543449600
11787,2509,818259473185828864
13127,2847,818145370475810820
5173,866,817908911860748288
55416,29774,817827839487737858
